preamble,condition,type,itemnum
The car that raced through the streets,filler,rc,1
The book that kept me up all night,filler,rc,2
The dog that barked incessantly,filler,rc,3
The tree that shaded the picnic area,filler,rc,4
The city that never slept,filler,rc,5
The city that buzzed with vibrant energy day and night,filler,rc,6
The computer that crashed in a spectacular display of sparks,filler,rc,7
The movie that mesmerized audiences with its breathtaking visuals,filler,rc,8
The restaurant that delighted taste buds with tantalizing flavors,filler,rc,9
The flower that bloomed like a radiant burst of sunshine,filler,rc,10
"Sarah and John,",filler,name,11
"Emily, Michael, and Samantha",filler,name,12
The Smith family,filler,name,13
David and Rebecca,filler,name,14
"Mr. Johnson and his loyal assistant, Ms. Rodriguez",filler,name,15
The dynamic duo of Lucy and Max ,filler,name,16
"Professor Thompson and his brilliant student, Alice",filler,name,17
"The Johnson siblings, Ethan and Olivia ",filler,name,18
"Jake, Lisa, and Alex ",filler,name,19
"The Jones twins, Emma and Ethan",filler,name,20
On the golden sandy beach,filler,adjunct,21
Amidst the vibrant city lights,filler,adjunct,22
Within the serene garden oasis,filler,adjunct,23
During a starry summer night,filler,adjunct,24
Along the road,filler,adjunct,25
In the misty mountain valley,filler,adjunct,26
At the bustling market square,filler,adjunct,27
Within the tranquil coastal village,filler,adjunct,28
Underneath the trees,filler,adjunct,29
Atop the rugged cliffside lookout,filler,adjunct,30
Who holds the key,filler,wh,31
Why the stars shine,filler,wh,32
When the clock strikes,filler,wh,33
Which path to choose,filler,wh,34
Who is behind the mask,filler,wh,35
Whom,filler,wh,36
Whose coffee,filler,wh,37
What to do after,filler,wh,38
How can we mend,filler,wh,39
What if you dare,filler,wh,40
All stars,filler,quantifier,41
Some dreams,filler,quantifier,42
Few opportunities,filler,quantifier,43
Many voices,filler,quantifier,44
Most challenges,filler,quantifier,45
"All eager eyes, filled with anticipation,",filler,quantifier,46
"Many passionate voices, echoing through the room,",filler,quantifier,47
"Several blissful moments, spent in each other's arms,",filler,quantifier,48
"Few precious chances, which had eluded them for so long,",filler,quantifier,49
"Most vivid dreams, which transported them to fantastical realms,",filler,quantifier,50
"If time and money were no obstacles,",filler,if,51
"If sentient robots roamed the Earth,",filler,if,52
"If a portal to the Dune universe would open today,",filler,if,53
"If artists from different eras collaborated with Billie Eilish,",filler,if,54
"If the world was ruled by cats,",filler,if,55
"If I could travel back in time, it would be the time when",filler,if,56
"Were I to be the mayor of College Park,",filler,if,57
"Were I to open a bakery shop,",filler,if,58
"Were I to save someone from the past,",filler,if,59
"Were I to relive yesterday,",filler,if,60
Whatever happened,filler,correlative,61
Wherever the party was,filler,correlative,62
Whoever was responsible,filler,correlative,63
Whichever path they chose,filler,correlative,64
